parcel_id,city,lot_sqft,zoning
062001200069,Cincinnati,1045.44,500
062001200070,Cincinnati,130.68,500
062001220045,Cincinnati,9016.92,500
062001220046,Cincinnati,4486.679999999999,501
062001220093,Cincinnati,41948.28,510
000200070122,Cincinnati,7535.879999999999,510
000200070123,Cincinnati,7535.879999999999,510
000200070124,Cincinnati,7535.879999999999,510
062001220099,Cincinnati,8929.8,599
004600100094,Cincinnati,16160.76,510
004600100119,Cincinnati,27834.84,510
016000710029,Cincinnati,5837.04,510
016000710030,Cincinnati,5793.4800000000005,510
016000710031,Cincinnati,6446.88,500
016000710032,Cincinnati,5575.68,510
016000710034,Cincinnati,7100.280000000001,510
050003320099,Cincinnati,65078.64,500
050003330003,Cincinnati,41686.92,510
050003330004,Cincinnati,41556.24,510
011800030048,Cincinnati,35544.96,350
050003330006,Cincinnati,107593.20000000001,510
011800030042,Cincinnati,6054.84,340
050003330008,Cincinnati,104674.68000000001,510
050003330009,Cincinnati,47436.84,510
050003330010,Cincinnati,54580.67999999999,510
059700700219,Cincinnati,3571.92,640
055100010051,Cincinnati,6751.8,510
050002520022,Cincinnati,25351.92,610
050002520023,Cincinnati,20473.199999999997,610
050002520024,Cincinnati,82023.48,610
060900130642,Cincinnati,8145.72,510
057002000117,Cincinnati,38071.44,500
057002000118,Cincinnati,44431.200000000004,500
000200070136,Cincinnati,10977.12,510
000200070137,Cincinnati,7579.44,510
